strike,open_interest,volume
380.0,70362.0,3564.0
470.0,41428.0,84675.0
420.0,38182.0,629.0
340.0,35013.0,186.0
480.0,29713.0,35155.0
475.0,26521.0,44173.0
450.0,24802.0,24573.0
490.0,24483.0,27639.0
485.0,24471.0,15693.0
460.0,23902.0,46484.0
415.0,22881.0,1959.0
455.0,19661.0,15551.0
440.0,19488.0,8268.0
500.0,16785.0,5828.0
465.0,14847.0,51919.0
463.0,14179.0,13830.0
477.0,12921.0,22621.0
400.0,12905.0,1472.0
495.0,12054.0,7603.0
459.0,10258.0,9656.0
468.0,9816.0,58681.0
467.0,9723.0,38787.0
472.0,9483.0,55164.0
469.0,8949.0,46534.0
505.0,8279.0,1267.0
501.0,8218.0,2106.0
458.0,7876.0,10974.0
473.0,7746.0,45452.0
478.0,7235.0,19636.0
474.0,7077.0,22866.0
445.0,7014.0,7026.0
435.0,6753.0,1755.0
486.0,6553.0,7181.0
482.0,6551.0,10639.0
510.0,6523.0,1551.0
488.0,6497.0,4058.0
491.0,6443.0,4054.0
515.0,6381.0,796.0
444.0,6246.0,3086.0
466.0,6143.0,29920.0
494.0,6115.0,2471.0
375.0,6085.0,1.0
471.0,6043.0,49934.0
492.0,5990.0,5295.0
461.0,5885.0,9471.0
462.0,5663.0,15309.0
487.0,5651.0,6405.0
479.0,5346.0,11525.0
430.0,5215.0,2230.0
484.0,5120.0,7695.0
520.0,4980.0,530.0
512.0,4909.0,435.0
462.5,4892.0,1102.0
476.0,4796.0,17958.0
448.0,4776.0,5270.0
483.0,4763.0,8041.0
456.0,4705.0,5954.0
493.0,4702.0,2506.0
464.0,4699.0,20730.0
481.0,4453.0,8010.0
496.0,4322.0,1433.0
535.0,4292.0,15.0
489.0,4280.0,4792.0
457.0,4252.0,7987.0
425.0,4246.0,1316.0
434.0,4045.0,822.0
504.0,3916.0,723.0
497.0,3416.0,1181.0
360.0,3383.0,87.0
499.0,3270.0,1042.0
454.0,3268.0,6324.0
451.0,3186.0,4099.0
447.0,3077.0,4446.0
433.0,2984.0,1313.0
530.0,2952.0,17.0
498.0,2941.0,887.0
453.0,2830.0,11792.0
452.0,2604.0,5876.0
446.0,2569.0,3081.0
437.0,2563.0,2836.0
443.0,2558.0,3155.0
525.0,2496.0,21.0
503.0,2376.0,876.0
436.0,2336.0,2005.0
512.5,2252.0,3.0
507.0,2095.0,46.0
502.0,2074.0,378.0
442.0,2037.0,2010.0
519.0,2032.0,15.0
438.0,1922.0,3333.0
522.0,1828.0,527.0
449.0,1799.0,9703.0
472.5,1728.0,4048.0
508.0,1668.0,284.0
517.0,1651.0,44.0
431.0,1590.0,1175.0
529.0,1482.0,15.0
516.0,1480.0,117.0
540.0,1479.0,183.0
467.5,1344.0,1835.0
560.0,1331.0,305.0
441.0,1320.0,2685.0
439.0,1291.0,2212.0
509.0,1220.0,833.0
514.0,1158.0,117.0
432.0,1142.0,304.0
506.0,1088.0,364.0
502.5,1081.0,47.0
565.0,1037.0,20.0
410.0,996.0,239.0
477.5,994.0,1626.0
511.0,988.0,342.0
524.0,855.0,12.0
527.0,775.0,7.0
429.0,769.0,1498.0
330.0,741.0,702.0
513.0,725.0,1024.0
385.0,724.0,1.0
497.5,717.0,348.0
543.0,685.0,34.0
545.0,680.0,8.0
507.5,666.0,35.0
350.0,623.0,157.0
521.0,606.0,21.0
570.0,588.0,5.0
365.0,584.0,52.0
405.0,554.0,239.0
390.0,547.0,4.0
550.0,531.0,16.0
395.0,529.0,238.0
528.0,521.0,8.0
580.0,511.0,231.0
527.5,491.0,6.0
428.0,478.0,597.0
325.0,470.0,405.0
538.0,457.0,52.0
533.0,455.0,2.0
542.5,445.0,54.0
518.0,435.0,28.0
531.0,432.0,12.0
270.0,426.0,200.0
585.0,411.0,6.0
265.0,399.0,56.0
536.0,395.0,5.0
517.5,391.0,155.0
424.0,379.0,48.0
426.0,371.0,1010.0
523.0,322.0,10.0
526.0,322.0,5.0
285.0,316.0,153.0
555.0,314.0,2.0
532.0,298.0,9.0
427.0,295.0,429.0
537.5,293.0,90.0
422.0,285.0,267.0
320.0,271.0,301.0
370.0,271.0,1.0
534.0,266.0,10.0
421.0,261.0,149.0
537.0,259.0,3.0
417.0,255.0,237.0
404.0,247.0,15.0
575.0,225.0,1.0
539.0,215.0,9.0
542.0,213.0,7.0
419.0,211.0,2289.0
411.0,211.0,136.0
544.0,191.0,72.0
275.0,185.0,8.0
406.0,183.0,72.0
414.0,168.0,10.0
595.0,163.0,7.0
418.0,157.0,117.0
522.5,157.0,3.0
315.0,156.0,2.0
541.0,150.0,7.0
423.0,134.0,976.0
546.0,129.0,89.0
532.5,124.0,2.0
412.0,123.0,67.0
260.0,122.0,3.0
407.0,113.0,100.0
590.0,89.0,1.0
615.0,82.0,54.0
413.0,82.0,21.0
547.0,80.0,10.0
548.0,80.0,3.0
553.0,72.0,3.0
416.0,69.0,20.0
549.0,64.0,31.0
552.0,47.0,30.0
605.0,46.0,5.0
335.0,38.0,638.0
355.0,32.0,71.0
345.0,31.0,1873.0
310.0,30.0,2.0
409.0,25.0,1.0
551.0,20.0,185.0
295.0,20.0,2.0
600.0,17.0,7.0
300.0,17.0,5.0
408.0,14.0,12.0
290.0,7.0,2.0
280.0,7.0,1.0
610.0,0.0,10.0
305.0,0.0,5.0
